name,addr,city,phone,type,cluster,postal,latlng
arnie morton's of chicago,435 s. la cienega blv.,los angeles,310/246-1501,american,0,90048,"(34.0707083, -118.3765626)"
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses,0,90048,"(34.0707083, -118.3765626)"
arnie morton,435 s. la cienega boulevard,los angeles,310-246-1501,steakhouses,0,90048,"(34.0707083, -118.3765626)"
art's delicatessen,12224 ventura blvd.,studio city,818/762-1221,american,1,91604,"(34.1429632, -118.3994648)"
art's deli,12224 ventura blvd.,studio city,818-762-1221,delis,1,91604,"(34.1429632, -118.3994648)"
art's deli,12224 ventura blvd.,los angeles,818-762-1221,delis,1,91604,"(34.1429632, -118.3994648)"
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian,2,90077,"(34.0865944, -118.4463507)"
bel-air hotel,701 stone canyon rd.,bel air,310-472-1211,californian,2,90077,"(34.0865944, -118.4463507)"
bel-air,701 stone canyon road,bel air,(310) 472-1211,american,2,90077,"(34.0865944, -118.4463507)"
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,3,91423,"(34.1489074, -118.4379155)"
cafe bizou,14016 ventura blvd.,sherman oaks,818-788-3536,french bistro,3,91423,"(34.1489074, -118.4379155)"
cafe bizou,14016 ventura blvd.,sherman oaks,(818) 788-3536,bistro,3,91423,"(34.1489074, -118.4379155)"
cafe bizou,14016 ventura blvd,sherman oaks,(818) 788-3536,french,3,91423,"(34.1489074, -118.4379155)"
campanile,624 s. la brea ave.,los angeles,213/938-1447,american,4,90036,"(34.0641419, -118.3437075)"
campanile,624 s. la brea ave.,los angeles,213-938-1447,californian,4,90036,"(34.0641419, -118.3437075)"
chinois on main,2709 main st.,santa monica,310/392-9025,french,5,90405,"(34.0009409, -118.4820634)"
chinois on main,2709 main st.,santa monica,310-392-9025,pacific new wave,5,90405,"(34.0009409, -118.4820634)"
citrus,6703 melrose ave.,los angeles,213/857-0034,californian,6,90038,"(34.0837081, -118.3399396)"
citrus,6703 melrose ave.,los angeles,213-857-0034,californian,6,90038,"(34.0837081, -118.3399396)"
citrus,6703 melrose avenue,los angeles,(213) 857-0034,american,6,90038,"(34.0837081, -118.3399396)"
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american,7,90069,"(34.0950968, -118.3719666)"
fenix,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),7,90069,"(34.0951411, -118.3720244)"
fenix at the argyle,8358 sunset blvd.,w. hollywood,213-848-6677,french (new),7,90069,"(34.0951411, -118.3720244)"
fenix at the argyle,8358 sunset blvd. west,hollywood,213/848-6677,american,7,90069,"(34.0950968, -118.3719666)"
granita,23725 w. malibu rd.,malibu,310/456-0488,californian,8,90265,"(34.0338798, -118.692496)"
granita,23725 w. malibu rd.,malibu,310-456-0488,californian,8,90265,"(34.0338798, -118.692496)"
grill on the alley,9560 dayton way,los angeles,310/276-0615,american,9,90210,"(34.0673605, -118.4018937)"
grill  the,9560 dayton way,beverly hills,310-276-0615,american (traditional),9,90210,"(34.0673605, -118.4018937)"
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian,10,90027,"(34.1074027, -118.2871721)"
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese,10,90027,"(34.1074027, -118.2871721)"
l'orangerie,903 n. la cienega blvd.,los angeles,310/652-9770,french,11,90069,"(34.08714450000001, -118.3766246)"
l'orangerie,903 n. la cienega blvd.,w. hollywood,310-652-9770,french (classic),11,90069,"(34.08714450000001, -118.3766246)"
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french,12,90048,"(34.0834521, -118.3700949)"
le chardonnay (los angeles),8284 melrose ave.,los angeles,213-655-8880,french bistro,12,90048,"(34.0834521, -118.3700949)"
locanda veneta,3rd st.,los angeles,310/274-1893,italian,13,,"(34.0090307, -118.4881742)"
locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian,13,90048,"(34.0734209, -118.3810981)"
locanda veneta,8638 w 3rd,st los angeles,+1 310-274-1893,italian,13,90048,"(34.0734209, -118.3810981)"
locanda,w. third st.,st los angeles,+1 310-274-1893,italian,13,,"(34.0689472, -118.3225988)"
matsuhisa,129 n. la cienega blvd.,beverly hills,310/659-9639,asian,14,90069,"(34.0683794, -118.3765414)"
matsuhisa,129 n. la cienega blvd.,beverly hills,310-659-9639,seafood,14,90069,"(34.0683794, -118.3765414)"
the palm,9001 santa monica blvd.,los angeles,310/550-8811,american,15,90069,"(34.0834733, -118.3873731)"
palm  the (los angeles),9001 santa monica blvd.,w. hollywood,310-550-8811,steakhouses,15,90069,"(34.083064, -118.387282)"
the palm los angeles,9001 sta monica boulevard,hollywood,+1 213-763-4600,steakhouses,15,90069,"(34.083064, -118.387282)"
patina,5955 melrose ave.,los angeles,213/467-1108,californian,16,90038,"(34.0836552, -118.3302427)"
patina,5955 melrose ave.,los angeles,213-467-1108,californian,16,90038,"(34.0836552, -118.3302427)"
philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,american,17,90012,"(34.059721, -118.237025)"
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias,17,90012,"(34.059721, -118.237025)"
philippe the original,1001 north alameda,los angeles,(213) 628-3781,sandwiches,17,90012,"(34.059721, -118.237025)"
pinot bistro,12969 ventura blvd.,los angeles,818/990-0500,french,18,91604,"(34.1457429, -118.4160821)"
pinot bistro,12969 ventura blvd.,studio city,818-990-0500,french bistro,18,91604,"(34.1457429, -118.4160821)"
pinot bistro,12969 ventura boulevard,studio city,(818) 990-0500,bistro,18,91604,"(34.1457429, -118.4160821)"
rex il ristorante,617 s. olive st.,los angeles,213/627-2300,italian,19,90014,"(34.0478472, -118.2548779)"
rex il ristorante,617 s. olive st.,los angeles,213-627-2300,nuova cucina italian,19,90014,"(34.0478472, -118.2548779)"
spago,1114 horn ave.,los angeles,310/652-4025,californian,20,90069,"(34.0911717, -118.3831611)"
spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian,20,90069,"(34.0911315, -118.3832896)"
valentino,3115 pico blvd.,santa monica,310/829-4313,italian,21,90404,"(34.026337, -118.4570875)"
valentino,3115 pico blvd.,santa monica,310-829-4313,italian,21,90404,"(34.026337, -118.4570875)"
yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,818/585-0855,asian,22,91103,"(34.147086, -118.1490988)"
yujean kang's,67 n. raymond ave.,pasadena,818-585-0855,chinese,22,91103,"(34.147086, -118.1490988)"
21 club,21 w. 52nd st.,new york,212/582-7200,american,23,10019,"(40.760533, -73.97739700000001)"
21 club,21 w. 52nd st.,new york city,212-582-7200,american (new),23,10019,"(40.760533, -73.97739700000001)"
aquavit,13 w. 54th st.,new york,212/307-7311,continental,24,10019,"(40.76168, -73.9763516)"
aquavit,13 w. 54th st.,new york city,212-307-7311,scandinavian,24,10019,"(40.76168, -73.9763516)"
aureole,34 e. 61st st.,new york,212/ 319-1660,american,25,10065,"(40.7644003, -73.9700847)"
aureole,34 e. 61st st.,new york city,212-319-1660,american (new),25,10065,"(40.7644003, -73.9700847)"
cafe lalo,201 w. 83rd st.,new york,212/496-6031,coffee bar,26,10024,"(40.78598119999999, -73.97672659999999)"
cafe lalo,201 w. 83rd st.,new york city,212-496-6031,coffeehouses,26,10024,"(40.78598119999999, -73.97672659999999)"
cafe des artistes,1 w. 67th st.,new york,212/877-3500,continental,27,10023,"(40.773502, -73.9789261)"
cafe des artistes,1 w. 67th st.,new york city,212-877-3500,french (classic),27,10023,"(40.773502, -73.9789261)"
carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,italian,28,10024,"(40.7910963, -73.9739914)"
carmine's,2450 broadway,new york city,212-362-2200,italian,28,10024,"(40.7911109, -73.97397889999999)"
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,delicatessen,29,10019,"(40.7643073, -73.98135429999999)"
carnegie deli,854 seventh ave.,new york city,212-757-2245,delis,29,10019,"(40.7642003, -73.9814074)"
chanterelle,2 harrison st.  near hudson st.,new york,212/966-6960,american,30,10013,"(40.7188267, -74.00907509999999)"
chanterelle,2 harrison st.,new york city,212-966-6960,french (new),30,10013,"(40.7188267, -74.00907509999999)"
daniel,20 e. 76th st.,new york,212/288-0033,french,31,10021,"(40.7744937, -73.9640958)"
daniel,20 e. 76th st.,new york city,212-288-0033,french (new),31,10021,"(40.7744937, -73.9640958)"
dawat,210 e. 58th st.,new york,212/355-7555,asian,32,10022,"(40.7604289, -73.9664337)"
dawat,210 e. 58th st.,new york city,212-355-7555,indian,32,10022,"(40.7604289, -73.9664337)"
felidia,243 e. 58th st.,new york,212/758-1479,italian,33,10022,"(40.7603663, -73.96511319999999)"
felidia,243 e. 58th st.,new york city,212-758-1479,italian,33,10022,"(40.7603663, -73.96511319999999)"
four seasons grill room,99 e. 52nd st.,new york,212/754-9494,american,34,10022,"(40.7583177, -73.9718681)"
four seasons,99 e. 52nd st.,new york city,212-754-9494,american (new),34,10022,"(40.7583177, -73.9718681)"
gotham bar & grill,12 e. 12th st.,new york,212/620-4020,american,35,10003,"(40.734207, -73.99369899999999)"
gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),35,10003,"(40.734207, -73.99369899999999)"
gotham bar and grill,12 e 12th st,new york city,212-620-4020,new american,35,10003,"(40.734207, -73.99369899999999)"
gotham,12 e 12th st,new york,(212) 620-4020,new american,35,10003,"(40.734207, -73.99369899999999)"
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,212/477-0777,american,36,10003,"(40.7384555, -73.98850639999999)"
gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new),36,10003,"(40.7384716, -73.98847239999999)"
island spice,402 w. 44th st.,new york,212/765-1737,tel caribbean,37,10036,"(40.7597677, -73.9920779)"
island spice,402 w. 44th st.,new york city,212-765-1737,caribbean,37,10036,"(40.7597677, -73.9920779)"
jo jo,160 e. 64th st.,new york,212/223-5656,american,38,10065,"(40.7650778, -73.96571)"
jo jo,160 e. 64th st.,new york city,212-223-5656,french bistro,38,10065,"(40.7650778, -73.96571)"
la caravelle,33 w. 55th st.,new york,212/586-4252,french,39,10019,"(40.7625147, -73.9763748)"
la caravelle,33 w. 55th st.,new york city,212-586-4252,french (classic),39,10019,"(40.7625147, -73.9763748)"
la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french,40,10019,"(40.762523, -73.977277)"
la cote basque,60 w. 55th st.,new york city,212-688-6525,french (classic),40,10019,"(40.7624832, -73.9773402)"
le bernardin,155 w. 51st st.,new york,212/489-1515,french,41,10019,"(40.7615691, -73.98180479999999)"
le bernardin,155 w. 51st st.,new york city,212-489-1515,seafood,41,10019,"(40.7615691, -73.98180479999999)"
les celebrites,160 central park s,new york,212/484-5113,french,42,10019,"(40.7660208, -73.97864919999999)"
les celebrites,155 w. 58th st.,new york city,212-484-5113,french (classic),42,10019,"(40.7658908, -73.9784202)"
lespinasse,2 e. 55th st.,new york,212/339-6719,american,43,10022,"(40.7613979, -73.9746128)"
lespinasse (new york city),2 e. 55th st.,new york city,212-339-6719,asian,43,10022,"(40.7613979, -73.9746128)"
lespinasse,2 e 55th st,new york,+1 212-339-6719,american,43,10022,"(40.7613979, -73.9746128)"
lutece,249 e. 50th st.,new york,212/752-2225,french,44,10022,"(40.7552873, -73.9689186)"
lutece,249 e. 50th st.,new york city,212-752-2225,french (classic),44,10022,"(40.7552873, -73.9689186)"
manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,seafood,45,10019,"(40.76500850000001, -73.9761481)"
manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,seafood,45,10019,"(40.76500850000001, -73.9761481)"
march,405 e. 58th st.,new york,212/754-6272,american,46,10022,"(40.7589131, -73.9618473)"
march,405 e. 58th st.,new york city,212-754-6272,american (new),46,10022,"(40.7589131, -73.9618473)"
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,47,10001,"(40.7484405, -73.98566439999999)"
